SCHNAME	N_PUPILS	KS1	KS2	P_SEN
Benedict Biscop Church of England Academy	254	17.0	31.9	13
Bernard Gilpin Primary School	269	15.6	29.8	25
Bexhill Academy	341	13.8	28.5	56
Biddick Primary School	273	15.0	29.7	23
Bishop Harland Church of England Aided Primary School	159	10.5	28.4	28
Blackfell Primary School	233	14.7	28.8	19
Broadway Junior School	242	15.1	29.5	12
Burnside Primary School	169	12.9	28.5	32
Castletown Primary School	375	14.7	27.6	31
Dame Dorothy Primary School	205	14.8	29.3	16
Diamond Hall Junior School	323	14.1	28.7	13
Dubmire Primary	475	14.1	27.7	27
Easington Lane Primary School	241	14.7	28.0	30
East Herrington Primary Academy	475	16.2	29.3	10
East Rainton Primary School	122	15.4	28.5	8
English Martyrs' Roman Catholic Voluntary Aided Primary School	199	12.5	28.1	34
Eppleton Academy Primary School	162	13.3	27.3	28
Farringdon Primary School	349	12.9	28.4	20
Fatfield Primary School	228	15.3	28.4	17
Fulwell Junior School	315	17.1	30.0	12
George Washington Primary School	415	13.2	27.1	20
Gillas Lane Primary School	144	13.6	27.0	34
Grange Park Primary School	201	15.7	31.0	25
Grangetown Primary School	242	12.0	27.1	30
Grindon Hall Christian School	500	17.5	28.1	21
Hetton Lyons Primary School	434	14.8	29.3	14
Hetton Primary School	109	11.9	26.5	33
Highfield Community Primary School	373	15.1	27.4	36
Hill View Junior School	410	17.1	30.7	8
Holley Park Primary School	211	14.5	28.6	28
Hudson Road Primary School	277	13.6	28.3	10
Hylton Castle Primary School	264	12.4	27.1	36
Hylton Red House Primary School	342	13.7	29.2	18
John F Kennedy Primary School	442	15.6	29.8	15
Lambton Primary School	283	15.9	28.4	35
Mill Hill Primary School	351	15.2	29.9	16
New Penshaw Primary School	161	11.2	26.1	38
New Silksworth Junior School	227	16.1	29.3	24
Newbottle Primary School	480	15.2	29.9	11
Our Lady Queen of Peace Roman Catholic Voluntary Aided Primary School	249	16.1	30.3	10
Oxclose Village Primary School	222	13.1	25.3	45
Plains Farm Primary School	239	13.3	26.1	27
Redby Primary School	423	15.1	28.4	4
Richard Avenue Primary School	437	14.5	28.7	27
Rickleton Primary School	443	16.6	29.3	10
Ryhope Junior School	175	15.2	28.6	23
St Anne's Roman Catholic Voluntary Aided Primary School	222	14.6	30.2	16
St Bede's Roman Catholic Voluntary Aided Primary School	214	17.2	31.0	0
St Benet's Roman Catholic Voluntary Aided Primary School	359	16.1	29.8	8
St Cuthbert's Roman Catholic Voluntary Aided Primary School	247	15.4	28.3	24
St John Bosco Roman Catholic Voluntary Aided Primary School	196	14.8	28.2	18
St John Boste Roman Catholic Voluntary Aided Primary School	191	15.5	27.5	26
St Joseph's Roman Catholic Voluntary Aided Primary School, Sunderland	291	15.4	30.2	11
St Joseph's Washington RC School	230	13.4	29.2	25
St Leonard's Roman Catholic Voluntary Aided Primary School	184	17.3	29.2	8
St Mary's Roman Catholic Voluntary Aided Primary School	470	16.0	29.9	10
St Michael's Roman Catholic Voluntary Aided Primary School	202	16.5	30.9	0
St Patrick's Roman Catholic Voluntary Aided Primary School	118	15.4	27.8	0
St Paul's CofE Primary School	239	14.2	28.0	26
Seaburn Dene Primary School	207	15.9	28.6	12
Shiney Row Primary School	310	14.1	27.3	23
South Hylton Primary School	244	13.7	26.8	31
Southwick Community Primary School	373	12.5	26.1	21
Springwell Village Primary School	218	14.4	27.7	17
Thorney Close Primary School	259	14.3	28.6	21
Town End Academy	224	14.8	29.5	41
Usworth Colliery Primary School	385	14.6	27.5	16
Valley Road Community Primary School	415	11.4	26.4	57
Wessington Primary School	237	13.9	28.2	21
Willow Fields Community Primary School	159	13.9	26.8	46
The Five Islands School	273	19.0	30.8	6
Academy of Trinity CofE Primary	192	16.1	29.1	19
Bathampton Primary School	153	16.7	31.8	22
Batheaston CofE Primary School	217	15.2	28.4	33
Bathford CofE VC Primary School	186	16.6	29.1	33
Bathwick St Mary Church of England Primary School	224	16.8	30.3	28
Bishop Sutton Primary School	130	15.5	31.1	17
Cameley CofE VC Primary School	110	16.0	27.8	20
Castle Primary School	257	15.6	27.8	31
Chandag Junior School	255	16.0	29.2	3
Chew Magna Primary School	100	17.4	30.1	21
Chew Stoke Church School	180	17.0	29.3	19
Clutton Primary School	131	14.4	29.0	22
Combe Down CofE Primary School	363	16.2	30.0	22
Farmborough Church of England VC Primary School	91	13.9	27.2	23
Farrington Gurney Church of England Primary School	92	16.5	29.3	8
Freshford Church of England Primary School	147	16.2	29.7	21
High Littleton CofE VC Primary School	134	15.6	30.8	5
Longvernal Primary School	87	11.9	25.4	79
Marksbury CofE Primary School	96	15.2	30.0	10
Midsomer Norton Primary School	325	15.2	27.9	16
Moorlands Junior School	202	14.8	28.1	14
Newbridge Primary School	443	15.6	28.7	10
Oldfield Park Junior School	234	15.2	27.2	31
Paulton Junior School	236	16.2	29.2	25
Peasedown St John Primary School	546	16.7	29.1	13
Pensford Primary School	72	15.5	29.3	13
St Andrew's CofE Primary School	181	14.8	28.2	36
St John's Catholic Primary School	318	15.5	28.9	19
St John's Church of England Primary School	211	17.1	29.4	16
St John's CofE Primary School	379	16.1	29.4	17
St Julian's CofE Primary School	95	15.4	28.6	7
St Keyna Primary School	229	15.3	26.8	39
St Martin's Garden Primary School	187	11.9	25.1	30
St Mary's Catholic Primary School	207	16.6	29.2	13
St Mary's CofE Primary School	200	15.5	27.0	36
St Mary's CofE Primary School	113	15.6	25.7	31
St Michael's CofE Junior School	173	15.2	27.2	49
St Nicholas CofE Primary	214	15.9	28.7	31
St Philip's CofE Primary School	281	14.0	29.0	33
St Saviour's CofE Junior School	205	15.6	30.0	16
St Stephen's CofE Primary School	416	17.6	31.0	20
Saltford CofE Primary School	372	18.0	30.3	21
Shoscombe CofE Primary School	96	17.2	27.0	40
Southdown Junior School	122	17.2	27.5	29
Stanton Drew Primary School	49	15.7	27.8	38
Swainswick CofE Primary School	68	11.8	26.2	55
Ubley Church of England Primary School	66	17.1	30.8	32
Welton Primary School	164	14.4	28.7	15
Westfield Primary School	347	15.2	27.9	29
Weston All Saints CofE Primary School	457	16.2	30.9	28
Whitchurch Primary School	193	16.7	29.5	23
Widcombe CofE Junior School	237	18.8	30.8	8
Air Balloon Hill Primary School	674	14.7	29.5	11
Ashley Down Primary School	388	16.4	30.4	20
Ashton Gate Primary School	453	15.7	30.4	25
Ashton Vale Primary School	193	13.6	26.6	15
Avon Primary School	248	14.2	26.1	41
Avonmouth Church of England Primary School	243	14.2	26.8	8
Badocks Wood Primary School & Children's Centre	247	13.9	27.0	24
Barton Hill Primary	459	11.8	23.9	37
Begbrook Primary Academy	495	14.2	28.4	8
Bishop Road Primary School	728	18.3	32.2	5
Blaise Primary and Nursery School	399	13.3	28.9	20
Brentry Primary School	204	13.9	27.8	34
Bridge Farm Primary School	440	16.2	30.7	11
Bridge Learning Campus Primary	474	15.0	27.7	18
Broomhill Junior School	170	13.9	28.7	18
Burnbush Primary School	155	12.4	23.4	7
Cabot Primary School	195	13.5	26.5	21
Cheddar Grove Primary School	458	14.4	28.6	26
Chester Park Junior School	239	14.7	27.5	17
Christ Church Church of England Primary School	292	16.0	30.4	25
Colston's Primary School	420	15.9	28.6	10
Compass Point: South Street School and Children's Centre	264	9.3	23.9	60
Easton Church of England Primary School	487	13.7	24.8	28
Elmlea Junior School	333	17.6	31.2	17
Fair Furlong Primary School	373	13.9	31.6	25
Filton Avenue Junior School	311	16.0	29.8	22
Fishponds Church of England Academy	439	13.2	26.7	24
Fonthill Primary School	218	13.6	25.7	39
Four Acres Primary School	258	14.5	28.7	6
Frome Vale Academy	236	13.9	23.5	23
Glenfrome Primary School	310	14.2	26.2	19
Greenfield E-Act Primary Academy	326	12.5	28.8	31
Hannah More Primary School	292	12.4	26.4	23
Hareclive Academy	358	13.6	27.7	6
Headley Park Primary School	412	16.0	29.3	11
Henbury Court Primary School	308	15.1	28.7	29
Henleaze Junior School	376	17.2	30.2	12
Hillcrest Primary School	419	16.2	29.7	10
Holy Cross RC Primary School	190	13.5	27.0	31
Holymead Primary School	268	15.4	28.2	20
Horfield Church of England Primary School	411	15.4	28.8	12
Hotwells Primary School	256	16.8	31.3	3
Ilminster Avenue E-ACT Academy	229	12.6	27.3	37
Knowle Park Primary School	572	14.1	28.9	26
Little Mead Primary School	425	13.7	28.8	29
Long Cross Primary and Nursery School	367	13.8	26.4	43
Luckwell Primary School	202	14.5	27.1	22
May Park Primary School	577	13.7	26.4	31
Millpond Primary School	343	10.3	25.0	19
Minerva Primary Academy	291	11.7	25.9	35
Oasis Academy Bank Leaze	206	13.8	26.5	20
Oasis Academy Connaught	324	14.1	25.3	24
Oasis Academy New Oak	195	15.0	29.5	24
Our Lady of the Rosary Catholic Primary School, Bristol	207	16.8	30.8	14
Parson Street Primary School	468	14.6	28.0	24
Perry Court Junior School	195	13.9	26.8	16
St Anne's Junior School	183	16.2	28.0	13
St Anne's Park Primary School	163	14.3	28.1	10
St Barnabas Church of England VC Primary School	214	14.5	28.2	5
St Bernadette Catholic Voluntary Aided Primary School	211	14.9	29.4	13
St Bernard's Catholic Primary School	139	15.2	29.5	16
St Bonaventure's Catholic Primary School	405	17.8	30.2	8
St George Church of England Primary School	88	14.0	28.9	26
St Johns Church of England Primary School, Clifton	327	17.7	30.9	11
St Joseph's Catholic Primary School	217	15.0	29.6	12
St Mary Redcliffe Church of England Primary School	414	14.6	27.2	30
St Michael's on the Mount Church of England Primary School	194	15.1	27.9	12
St Nicholas of Tolentine Catholic Primary School	177	13.5	28.1	6
St Patrick's Catholic Primary School	210	15.7	32.0	3
St Peter's Church of England Primary School (VC)	378	14.7	28.7	25
St Pius X RC Primary School	159	14.3	27.1	17
St Teresa's Catholic Primary School	209	15.7	30.8	20
St Werburgh's Primary School	196	13.7	27.9	24
Ss Peter and Paul RC Primary School	209	16.4	30.7	50
School of Christ The King Catholic Primary Filwood Park Bristol	195	16.1	28.0	24
Sea Mills Primary School	195	15.4	28.9	25
Sefton Park Junior School	294	16.6	31.6	5
Shirehampton Primary School	440	15.0	27.0	23
Southville Primary School	284	15.6	29.6	21
Stoke Bishop Church of England Primary School	362	15.3	26.9	18
Stoke Park Primary School	240	13.1	27.6	55
Summerhill Junior School	330	14.6	27.8	31
Two Mile Hill Primary School	488	14.6	29.2	16
Upper Horfield Primary School	159	14.3	28.9	13
Victoria Park Primary School	449	14.8	28.2	17
Wansdyke Primary School	197	15.8	29.3	25
Waycroft Academy	486	15.6	31.9	19
West Town Lane Academy	470	15.6	27.8	21
Westbury Park Primary School	410	17.5	31.8	15
Westbury-On-Trym Church of England Academy	412	16.9	29.2	7
Whitehall Primary School	408	15.6	30.1	8
All Saints East Clevedon Church of England Primary School	115	16.0	28.5	6
Ashcombe Primary School	450	15.6	29.4	22
Backwell Church of England Junior School	212	17.2	29.1	5
Banwell Primary School	189	14.8	27.2	37
Becket Primary School	203	12.7	26.3	64
Birdwell Primary School	246	16.3	30.2	28
Blagdon Primary School	115	15.2	30.6	0
Bournville Community Primary School	393	11.4	27.1	60
Burrington Church of England Voluntary Aided Primary School	79	17.3	29.6	0
Castle Batch Community Primary School	437	15.4	27.9	17
Christ Church Church of England Primary School	198	14.3	27.7	12
Churchill Church of England Primary School	199	16.4	29.9	13
Corpus Christi Catholic Primary School	205	12.7	27.7	20
Court-de-Wyck Primary School	121	13.4	26.6	42
Crockerne Church of England Primary School	323	14.7	27.6	29
Dundry Church of England Primary School	69	16.5	26.7	15
Flax Bourton Church of England Primary School	88	15.4	28.0	16
Golden Valley Primary School	415	15.2	31.0	5
Grove Junior School	299	16.2	28.3	12
Herons' Moor Academy	464	14.5	28.2	18
High Down Junior School	347	16.8	29.1	6
Hutton Church of England Primary School	198	13.2	25.8	47
Kewstoke Primary School	96	15.4	28.6	25
Kingshill CofE Primary School	157	12.5	25.8	54
Locking Primary School	322	14.6	28.3	16
Mary Elton Primary School	409	15.5	27.1	20
Mead Vale Community Primary School	418	15.2	27.0	37
Milton Park Primary School	390	13.0	26.5	22
Northleaze Church of England Primary School	204	17.6	30.8	7
Oldmixon Primary School	231	13.3	29.2	16
Portishead Primary School	444	16.1	29.9	14
St Andrew's Primary School	235	17.9	31.7	10
St Anne's Church of England Primary School	180	16.2	27.8	15
St Francis Catholic Primary School	195	16.8	30.6	10
St Georges VA Church Primary School	259	15.8	28.0	16
St John the Evangelist Voluntary Aided Church of England Primary School	298	16.3	29.4	17
St Joseph's Catholic Primary School	212	17.3	29.5	9
St Mark's Voluntary Aided Ecumenical CofE/Methodist Primary School	418	16.9	29.7	11
St Martin's Church of England Primary School	489	15.4	28.1	16
St Mary's Church of England Voluntary Aided Primary School, Portbury	99	16.2	28.2	0
St Nicholas Chantry Church of England Voluntary Controlled Primary School	297	14.9	29.0	28
St Peter's Church of England Primary School	438	16.5	28.7	9
Sandford Primary School	140	16.2	32.6	10
Tickenham Church of England Primary School	87	15.3	29.4	33
Trinity Anglican-Methodist Primary School	409	15.5	27.5	14
Uphill Primary School	311	15.7	28.0	28
Walliscote Primary School	281	12.4	27.1	39
Windwhistle Primary School	425	13.9	28.1	12
Winford Church of England Primary School	131	14.9	28.6	28
Winscombe Primary School	179	16.4	30.7	12
Worlebury St Paul's Church of England Voluntary Aided Primary School	202	15.0	28.3	16
Wraxall Church of England Voluntary Aided Primary School	107	14.8	27.2	33
Wrington Church of England Primary School	211	16.9	29.8	24
Yatton Church of England Junior School	287	18.1	30.1	18
Yeo Moor Primary School	309	14.9	28.3	18
Abbotswood Primary School	299	14.9	27.2	22
Alexander Hosea Primary School	244	17.2	28.5	14
Almondsbury Church of England Primary School	290	16.2	29.3	3
Bailey's Court Primary School	439	15.9	29.8	10
Barley Close Community Primary School	299	14.3	27.1	20
Barrs Court Primary School	305	13.8	26.7	24
Beacon Rise Primary School	442	16.5	30.4	12
Blackhorse Primary School	387	15.6	28.0	28
Bowsland Green Primary School	289	15.8	29.1	38
Bromley Heath Junior School	242	16.5	30.3	5
Cadbury Heath Primary School	201	15.6	30.3	8
Callicroft Primary School	225	15.2	28.2	12
Charfield Primary School	185	14.8	30.0	11
Cherry Garden Primary School	191	14.8	27.0	26
Christ Church Hanham CofE Primary School	235	15.3	28.1	17
Christ Church, Church of England Junior School, Downend	298	15.0	27.4	10
Christ The King Catholic Primary School, Thornbury	115	13.6	29.6	28
Coniston Primary School	175	12.6	25.9	25
Courtney Primary School	206	13.9	27.0	12
Crossways Junior School	221	17.2	29.9	12
Elm Park Primary School	303	15.3	27.2	26
Emersons Green Primary School	239	15.1	27.5	36
Filton Hill Primary School	194	15.2	28.2	12
Frampton Cotterell Church of England Primary School	281	16.2	28.5	13
Frenchay Church of England Primary School	130	15.7	29.3	31
Gillingstool Primary School	158	14.3	28.8	48
Hambrook Primary School	196	15.6	27.7	22
Hanham Abbots Junior School	356	15.0	28.7	7
Hawkesbury Church of England Primary School	88	15.2	30.0	9
Holy Family Catholic Primary School	182	14.8	28.4	36
Holy Trinity Primary School	204	15.6	30.3	19
Horton CofE VA Primary School	62	16.4	29.0	50
Iron Acton Church of England Primary School	76	15.3	28.5	15
Kings' Forest Primary School	391	15.0	28.4	39
Little Stoke Primary School	159	15.4	27.3	7
Longwell Green Primary School	399	16.1	28.9	12
Mangotsfield Church of England Voluntary Controlled Primary School	472	14.5	30.6	22
The Manor Coalpit Heath Church of England Primary School	202	16.0	30.6	19
Manorbrook Primary School	174	16.6	28.6	16
Marshfield Church of England Primary School	169	16.4	28.8	28
Meadowbrook Primary School	400	15.8	27.5	17
The Meadows Primary School	199	16.1	30.5	14
North Road Community Primary School	94	14.1	23.1	43
Old Sodbury Church of England Primary School	73	15.8	29.4	25
Oldbury on Severn Church of England Primary School	58	16.8	27.0	30
Olveston Church of England Primary School	201	16.7	28.3	8
Our Lady of Lourdes Catholic Primary School	200	15.6	28.4	8
The Park Primary School	532	15.0	28.7	5
Parkwall Primary School	142	14.1	25.8	21
Pucklechurch CofE VC Primary School	235	15.2	29.4	44
Rangeworthy Church of England Primary School	64	16.1	30.5	10
Raysfield Junior School	206	15.8	28.9	41
Redfield Edge Primary School	197	16.3	30.2	15
The Ridge Junior School	226	16.2	29.2	15
The Ridings Federation Yate International Academy	919	15.1	27.5	26
St Andrew's Church of England Primary School, Cromhall	44	14.6	25.7	29
St Anne's Church of England Primary School	363	14.7	27.3	28
St Augustines of Canterbury RC Primary School	293	15.9	28.3	20
St Barnabas CofE Primary School	210	15.5	28.3	18
St Chad's Patchway CofE Primary School	260	15.8	26.9	14
St Helen's Church of England Primary School	199	16.2	29.2	18
St John's Mead Church of England Primary School	320	14.6	28.2	14
St Mary's Catholic Primary School	207	16.6	30.5	18
St Mary's Church of England Primary School, Thornbury	160	17.0	31.4	8
St Mary's Church of England Primary School, Yate	314	16.5	29.0	24
St Michael's Church of England Primary School, Stoke Gifford	580	15.3	27.9	20
St Michael's Church of England Primary School, Winterbourne	205	15.6	28.0	19
St Paul's Catholic Primary School	188	15.8	29.0	31
St Peter's Anglican / Methodist VC Primary	200	16.0	29.4	11
St Stephen's Church of England Junior School, Soundwell	341	14.5	27.9	25
Shield Road Primary School	176	13.4	29.4	21
Stanbridge Primary School	398	14.1	27.7	12
